case_key,pipeline,xai,instance,RA,SA,VA,primary,secondary,gt_rank0_feature,gt_rank0_sign,gt_rank0_contrib,ext_rank0_feature,ext_rank0_sign,note
05_xgb_inst3543,Vision,XGB,3543,0.0,1.0,0.5,E1,B2,yr,1,0.186,hr,1,"yr(+0.186) is rank-0, hr(+0.107) is rank-1. Extractor assigns hr as rank-0. Vision explanation presumably led with hr (Uhrzeit 20h). Contributions not especially close — likely extractor reading explanation order."
05_xgb_inst4454,Vision,XGB,4454,0.25,0.75,0.5,B2,E2,hr,1,0.352,hr,1,"hr rank-0 correct. yr(0.145) and temp(0.158) at ranks 2/3 are very close (<10% apart) and are swapped. weekday sign inverted by extractor (GT=-0.108, EXT=+1)."
05_ebm_inst1041,Vision,EBM,1041,0.33,0.67,0.33,C,B2,hr,1,1.109,hr,1,"hr rank-0 correct. yr(contribution=-0.226) again framed as positive ""2012-Wachstum"" → SA miss on yr. temp(0.098) presented before yr(0.226) despite lower |contribution| (B2)."
05_ebm_inst2510,Vision,EBM,2510,0.25,0.75,0.75,C,B2,hr,1,1.148,hr,1,hr rank-0 correct. temp has GT contribution=-0.062 (negative) but extracted as sign=+1. yr(0.226) and temp(0.062) rank-swapped. weekday injected at rank-1 (not in GT top-3).
06_xgb_inst1481,Tool-Use,XGB,1481,1.0,0.0,0.5,E2,,hr,1,0.378,hr,-1,"Same extractor sign-inversion as 05_xgb_inst1481 (RA=1, SA=0). Tool-Use explanation correctly describes hr=16h as strong upward driver."
06_xgb_inst1677,Tool-Use,XGB,1677,0.0,1.0,0.67,B1,E1,hr,1,0.253,yr,-1,"Same positive/negative-grouping error as 05_xgb_inst1677. Tool-Use explanation leads with hr(+) then yr(-), extractor promotes yr to rank-0 because it is called ""biggest brake""."
06_xgb_inst3543,Tool-Use,XGB,3543,0.0,1.0,0.67,E1,B2,yr,1,0.186,hr,1,"Tool-Use explanation correctly identifies yr as rank-0 (""stärkster positiver Einfluss: Jahr 2012""). But extractor assigns hr as rank-0 — clear extractor error."
06_xgb_inst3847,Tool-Use,XGB,3847,0.33,0.67,0.67,E2,,hr,1,0.413,hr,-1,hr rank-0 correct. Extractor inverts hr sign (+→-). Lower ranks also partially wrong.
06_ebm_inst580,Tool-Use,EBM,580,0.33,0.67,0.67,E1,,yr,-1,0.226,hr,-1,yr(-) is SHAP rank-0. Extractor assigns hr(-) as rank-0. Sign is correct for hr but feature identity is wrong.
06_ebm_inst1041,Tool-Use,EBM,1041,0.33,0.67,0.67,C,B2,hr,1,1.109,hr,1,"hr rank-0 correct. Same yr sign error as 04/05_ebm_inst1041: yr=0(2011) has negative contribution but Tool-Use explanation presents ""2012 growing""."
06_ebm_inst2510,Tool-Use,EBM,2510,0.33,0.67,1.0,C,B2,hr,1,1.148,hr,1,"hr rank-0 correct. temp extracted with wrong sign (GT=-0.062, EXT=+1). yr and temp rank swapped. Same pattern as 05_ebm_inst2510."
04_xgb_inst3543,JSON→Text,XGB,3543,0.25,1.0,0.75,E1,B2,yr,1,0.186,hr,1,"JSON-Text explanation correctly opens with ""Jahr 2012 ist der stärkste Treiber"". Extractor assigns hr as rank-0 — clear extractor error. All signs correct (SA=1)."
04_xgb_inst3847,JSON→Text,XGB,3847,0.5,0.75,0.75,E2,,hr,1,0.413,hr,-1,hr rank-0 correct. Extractor inverts hr sign (+→-). Partial rank matches.
04_ebm_inst3847,JSON→Text,EBM,3847,0.75,0.5,0.5,E2,,hr,1,0.661,hr,-1,hr rank-0 correct (RA=0.75 — best rank match in this set). Extractor inverts hr sign. Mostly a measurement artifact.
05_xgb_inst580,Vision,XGB,580,0.25,1.0,0.33,B2,,hr,-1,0.365,hr,-1,"hr rank-0 correct. All four features (hr, yr, mnth, temp) are negative — all contributions between 0.22 and 0.36. yr(0.328)/mnth(0.248)/temp(0.220) rank-swapped in extraction: mnth appears before yr despite lower |contribution|. All signs correct (SA=1)."
05_xgb_inst2058,Vision,XGB,2058,0.5,0.75,0.67,B2,E1,yr,-1,0.195,yr,-1,"yr rank-0 correct. hr (not in GT top-4) injected at rank-1. temp pushed to rank-7 despite being GT rank-1 (+0.163). mnth sign inverted (GT=+0.123, EXT=sign-1)."
